January,February,March,April,May,June,July,August,September,October,November,December
1.639999986,1.610000014,0.620000005,1.159999967,0.719999969,0.319999993,0.729999959,0.119999997,1.889999986,1.579999924,1.00999999,1.579999924
1.589999914,1.669999957,0.610000014,1.230000019,0.719999969,0.329999983,0.669999957,0.199999988,1.860000014,1.549999952,1.019999981,1.599999905
1.539999962,1.699999928,0.599999964,1.25,0.75999999,0.340000004,0.620000005,0.269999981,1.819999933,1.589999914,1.059999943,1.639999986
1.5,1.730000019,0.579999983,1.230000019,0.829999983,0.349999994,0.589999974,0.329999983,1.789999962,1.679999948,1.100000024,1.709999919
1.459999919,1.75999999,0.560000002,1.199999928,0.909999967,0.359999985,0.569999993,0.370000005,1.75999999,1.819999933,1.149999976,1.799999952
1.439999938,1.709999919,0.550000012,1.25,0.969999969,0.379999995,0.550000012,0.370000005,1.730000019,1.889999986,1.189999938,1.899999976
1.429999948,1.620000005,0.529999971,1.339999914,1.029999971,0.399999976,0.550000012,0.340000004,1.709999919,1.939999938,1.230000019,2.00999999
1.449999928,1.50999999,0.519999981,1.459999919,1.090000033,0.429999977,0.560000002,0.310000002,1.689999938,1.969999909,1.069999933,2.109999895
1.529999971,1.5,0.48999998,1.339999914,1.039999962,0.449999988,0.569999993,0.299999982,1.74000001,2.129999876,1.120000005,2.119999886
1.639999986,1.449999928,0.469999999,1.289999962,1,0.469999999,0.550000012,0.389999986,1.779999971,2.119999886,1.230000019,2.139999866
1.769999981,1.389999986,0.449999988,1.269999981,0.949999988,0.48999998,0.529999971,0.529999971,1.819999933,2.029999971,1.389999986,2.149999857
1.929999948,1.439999938,0.429999977,1.289999962,0.879999995,0.50999999,0.50999999,0.589999974,1.870000005,1.929999948,1.50999999,2.149999857
2.149999857,1.519999981,0.409999996,1.339999914,0.810000002,0.550000012,0.5,0.620000005,1.929999948,1.819999933,1.610000014,2.139999866
2.399999857,1.620000005,0.399999976,1.409999967,0.74000001,0.599999964,0.48999998,0.610000014,1.9799999,1.699999928,1.679999948,2.129999876
2.599999905,1.669999957,0.389999986,1.370000005,0.689999998,0.649999976,0.48999998,0.560000002,2.029999971,1.689999938,1.699999928,2.119999886
2.779999971,1.719999909,0.389999986,1.289999962,0.649999976,0.709999979,0.469999999,0.50999999,2.059999943,1.75,1.679999948,2.099999905
2.939999819,1.75999999,0.399999976,1.189999938,0.610000014,0.779999971,0.459999979,0.469999999,2.089999914,1.849999905,1.639999986,2.059999943
2.970000029,1.779999971,0.399999976,1.100000024,0.579999983,0.849999964,0.449999988,0.459999979,2.069999933,1.860000014,1.569999933,2.059999943
